Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Global Reward
0	-430734.12	8398086.0	19853232.0	-30910768.0	550.0	0.112106785	0.16112101	0.5493214	-0.45548123	1000	2.7583283e-07	15546805000000.0	-0.06017581	-17825792.0	3.8655145	0.015273447	0.238	19.0	228.34552717208862	22278144.0
1	935035.3	9188603.0	23474136.0	-25564378.0	1500.5	-2.5842998	4.844717	9.430102	-10.122317	2000	-3.26896e-08	11798361000000.0	-0.09081919	-34603010.0	3.853638	0.011538263	0.416	79.0	246.50748109817505	30878428.0
2	-3220184.5	11438066.0	20554128.0	-41200770.0	2500.5	4.9462256	10.317693	16.36811	-16.153278	3000	6.6900625e-08	13027718000000.0	-0.09614373	-41943040.0	3.8472006	0.012157589	0.483	79.0	263.99780321121216	39195492.0
3	820022.94	10130475.0	26441968.0	-40936264.0	3500.5	-1.9993352	14.442363	21.434757	-21.599693	4000	1.3923156e-07	15396738000000.0	-0.08953235	-66060290.0	3.8375435	0.015112033	0.483	70.0	282.7220211029053	28600712.0
4	-4341831.0	8917381.0	19874694.0	-31981614.0	4500.5	3.7375588	20.014084	27.405113	-27.313759	5000	-8.496293e-08	15470580000000.0	-0.042745635	-71303170.0	3.8261375	0.015877929	0.188	9.0	298.6501293182373	37412088.0
5	-3255314.0	10223758.0	17333064.0	-33449360.0	5500.5	3.5620093	25.685623	33.19843	-33.24669	6000	-1.1552183e-08	15944980000000.0	-0.036178097	-103809020.0	3.839758	0.016346274	0.214	8.0	481.69163703918457	35761866.0
6	-2343257.5	9692531.0	19817756.0	-38248420.0	6500.5	-7.7265644	29.606226	39.124886	-39.195396	7000	7.240719e-08	12692913000000.0	-0.039145138	-100663300.0	3.8175557	0.016021382	0.179	8.0	496.1110141277313	31446828.0
7	-318655.88	7863567.5	21856646.0	-23949240.0	7500.5	-2.3935142	35.695602	44.734066	-44.823105	8000	7.25633e-08	10375088000000.0	-0.07518162	-109051900.0	3.8231003	0.015316149	0.34	23.0	513.2130291461945	38609060.0
8	-2317112.0	10423199.0	17695272.0	-40897656.0	8500.5	15.985248	37.094673	49.93459	-50.151035	9000	2.247778e-09	20800684000000.0	-0.029546287	-165675000.0	3.8115802	0.015714604	0.162	6.0	530.6011130809784	39690588.0
9	-1686025.2	8584151.0	13858180.0	-35911510.0	9500.5	0.76126635	45.189144	56.197754	-56.434196	10000	8.597644e-08	9685180000000.0	-0.028425151	-124780540.0	3.8075483	0.015483219	0.199	7.0	547.7288801670074	20581568.0
